Severity,End_Lat,End_Lng
4,38.595512,-121.48077
4,37.597266,-121.951984
4,37.577234,-121.970838
4,37.597266,-121.951984
4,37.82561,-122.27485
4,38.250735,-122.561001
4,38.251947,-122.577954
4,38.236886,-122.528087
4,38.252757,-122.577219
4,38.252757,-122.577219
4,38.236886,-122.528087
4,38.254296,-122.574852
4,38.23619,-122.52659
4,37.492231,-122.386071
4,39.05266,-121.10879
4,39.042414,-121.098605
4,38.777407,-121.265994
4,37.624594,-122.447391
4,38.58889,-121.415158
4,37.311854,-122.318563
4,37.31877,-122.336591
4,37.71486,-121.56166
4,37.685898,-121.659236
4,37.766864,-121.733323
4,37.723696,-121.72422
4,38.92509,-119.74695
4,38.93584,-119.75165
4,36.80828,-119.626911
4,36.80831,-119.636922
4,35.429694,-120.751408
4,35.45803,-120.749764
4,38.05536,-122.2248
4,38.05536,-122.2248
4,38.31698,-121.94305
4,38.30204,-121.94928
4,36.239299,-121.775071
4,36.235505,-121.768323
4,38.69467,-121.29034
4,38.578291,-122.605337
4,38.55159,-122.65054
4,37.546456,-122.513403
4,37.569871,-122.515553
4,37.546456,-122.513403
4,37.78965,-122.38838
4,38.52509,-121.408838
4,38.532648,-121.4092
4,38.525114,-121.403866
4,38.52509,-121.40913
4,37.63416,-122.41968
4,37.3777,-121.94618
4,37.544496,-121.945254
4,37.388082,-122.266746
4,37.38676,-122.2649
4,37.63875,-120.81574
4,37.63825,-120.75952
4,38.495695,-121.147238
4,38.494619,-121.155061
4,38.51057,-121.415228
4,38.51057,-121.415187
4,35.761522,-119.151309
4,35.761523,-119.151148
4,38.57645,-121.5487
4,37.58498,-122.507404
4,37.58498,-122.507404
4,37.589888,-122.504056
4,38.01554,-121.88289
4,37.261835,-122.117456
4,37.32204,-121.94029
4,37.32204,-121.94029
4,37.32204,-121.94029
4,38.01435,-122.26692
4,37.98072,-122.52266
4,37.98766,-122.52764
4,37.496225,-121.067845
4,36.25797,-120.24602
4,36.92195,-121.7105
4,36.91684,-121.73166
4,39.28498,-120.70096
4,37.32003,-121.89048
4,37.31731,-121.93597
4,35.356044,-119.198735
4,35.19401,-118.9677
4,37.91952,-122.33209
4,38.89573,-121.01607
4,37.85215,-122.28661
4,37.84703,-122.29759
4,37.85215,-122.28661
4,37.78211,-121.31151
4,35.695743,-121.293199
4,35.69116,-121.2895
4,37.78653,-121.303565
4,38.3016,-122.3031
4,35.83761,-119.26134
4,37.66033,-120.87535
4,38.12895,-121.58701
4,38.06907,-122.22655
4,38.06907,-122.22655
4,36.40113,-119.65497
4,36.40121,-119.63695
4,37.895515,-121.713527
4,36.94414,-121.78688
4,38.481694,-121.390425
4,37.934077,-122.429174
4,39.28704,-120.10392
4,39.254009,-120.041178
4,37.33705,-121.85097
4,35.72093,-118.49992
4,35.72091,-118.49975
4,37.46789,-122.43011
4,37.47819,-122.414331
4,38.04555,-122.77782
4,38.04626,-122.77098
4,37.785531,-122.42303
4,37.05679,-120.968868
